,name,product_link,price,image_link,image_name
61," AOC G2590PX 24.5"" Full HD 144HZ Freesync Gaming Monitor",https://www.startech.com.bd/aoc-g2590px-fhd-gaming-monitor,"
26,250৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/aoc/g2590px/g2590px-01-228x228.jpg,"AOC G2590PX 24.5"" Full HD 144HZ Freesync Gaming Monitor"
62," GIGABYTE G27FC 27"" 165Hz Full HD Curved Gaming Monitor",https://www.startech.com.bd/gigabyte-g27fc-monitor,"
26,650৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/gigabyte/g27fc/g27fc-228x228.jpg,"GIGABYTE G27FC 27"" 165Hz Full HD Curved Gaming Monitor"
63," Asus VP249QGR 23.8"" 144 Hz Full HD Gaming Monitor",https://www.startech.com.bd/asus-vp249qgr-gaming-monitor,"
26,750৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vp249qgr/vp249qgr-228x228.jpg,"Asus VP249QGR 23.8"" 144 Hz Full HD Gaming Monitor"
64," Asus TUF VG249Q1A 23.8"" 165Hz Full HD IPS LED Gaming Monitor",https://www.startech.com.bd/asus-tuf-vg249q1a-23-8-inch-gaming-monitor,"
26,750৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vg249q1a/vg249q1a-228x228.jpg,"Asus TUF VG249Q1A 23.8"" 165Hz Full HD IPS LED Gaming Monitor"
65," Philips 276E9QJAB/94 27"" FHD LCD Monitor With Ultra Wide Color",https://www.startech.com.bd/philips-276e9qjab-94-monitor,"
26,300৳ 27,000৳
",https://www.startech.com.bd/image/cache/catalog/monitor/philips/276e9qjab-69/lcd-monitor-27inch-ultra-wide-color-1-228x228.jpg,"Philips 276E9QJAB/94 27"" FHD LCD Monitor With Ultra Wide Color"
66," LG 24GN650-B 24"" UltraGear FHD IPS 1ms 144Hz HDR Gaming Monitor",https://www.startech.com.bd/lg-24gn650-b-24-inch-ultragear-fhd-monitor,"
27,000৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/24gn650-b/24gn650-b-01-228x228.jpg,"LG 24GN650-B 24"" UltraGear FHD IPS 1ms 144Hz HDR Gaming Monitor"
67, BenQ GW2780 27 inch Full HD Eye-care IPS Monitor,https://www.startech.com.bd/benq-gw2780-fhd-monitor,"
27,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/benq/gw2780/gw2780-228x228.jpg,BenQ GW2780 27 inch Full HD Eye-care IPS Monitor
68," ASUS BE24EQK 23.8"" FHD Business Monitor with Webcam",https://www.startech.com.bd/asus-be24eqk-business-monitor,"
27,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/be24eqk/asus-be24eqk-01-228x228.jpg,"ASUS BE24EQK 23.8"" FHD Business Monitor with Webcam"
69," ASUS VY279HE 27"" 75Hz FHD FreeSync IPS Eye Care Monitor",https://www.startech.com.bd/asus-vy279he-fhd-eye-care-monitor,"
27,500৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/asus/vy279he/vy279he-01-228x228.jpg,"ASUS VY279HE 27"" 75Hz FHD FreeSync IPS Eye Care Monitor"
70, HP M27FW 27'' FHD IPS Monitor,https://www.startech.com.bd/hp-m27fw-27-inch-fhd-ips-monitor,"
27,100৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/hp-monitor/m27fw/m27fw-01-228x228.jpg,HP M27FW 27'' FHD IPS Monitor
71," MSI Optix G243 23.8"" 165Hz FHD Gaming Monitor",https://www.startech.com.bd/msi-optix-g243-fhd-gaming-monitor,"
27,900৳ ",https://www.startech.com.bd/image/cache/catalog/monitor/msi/g243/g243-01-228x228.jpg,"MSI Optix G243 23.8"" 165Hz FHD Gaming Monitor"
